accuracy,loss,val_accuracy,val_loss,learning_rate
0.8675416707992554,0.7797303199768066,0.9449999928474426,0.4619928002357483,0.0010000000474974513
0.921541690826416,0.5134651064872742,0.9546666741371155,0.3718641698360443,0.0010000000474974513
0.9290208220481873,0.4421501159667969,0.9553333520889282,0.333464652299881,0.0010000000474974513
0.9323750138282776,0.4064458906650543,0.9547500014305115,0.32374808192253113,0.0010000000474974513
0.9338124990463257,0.389036625623703,0.965416669845581,0.2827603220939636,0.0010000000474974513
0.9389166831970215,0.36955976486206055,0.9639166593551636,0.283189058303833,0.0010000000474974513
0.9366875290870667,0.36525866389274597,0.9639166593551636,0.2711515426635742,0.0010000000474974513
0.9384791851043701,0.35929667949676514,0.9615833163261414,0.2791120111942291,0.0010000000474974513
0.9377708435058594,0.355276882648468,0.9671666622161865,0.2590335011482239,0.0010000000474974513
0.9391041398048401,0.3494550883769989,0.9610833525657654,0.27230435609817505,0.0010000000474974513
